File	Reference Location	Reference
bowman_et_al_1991_1.tsv	Table 2	Bowman, J.P. et al., 1991. Phospholipid fatty acid and lipopolysaccharide fatty acid signature lipids in methane-utilizing bacteria. FEMS Microbiology Letters, 85(1), pp.15–21. 
bowman_et_al_1991_2.tsv	Table 4	Bowman, J.P. et al., 1991. Phospholipid fatty acid and lipopolysaccharide fatty acid signature lipids in methane-utilizing bacteria. FEMS Microbiology Letters, 85(1), pp.15–21. 
bowman_et_al_1997.tsv	Table 4	Bowman, J.P. et al., 1997. Shewanella gelidimarina sp. nov. and Shewanella frigidimarina sp. nov., Novel Antarctic Species with the Ability To Produce Eicosapentaenoic Acid (20:5ω3) and Grow Anaerobically by Dissimilatory Fe(III) Reduction. International Journal of Systematic Bacteriology, 47(4), pp.1040–1047. 
bowman_et_al_1998.tsv	Table 4	Bowman, J.P. et al., 1998. Colwellia demingiae sp. nov., Colwellia hornerae sp. nov., Colwellia rossensis sp. nov. and Colwellia psychrotropica sp. nov.: psychrophilic Antarctic species with the ability to synthesize docosahexaenoic acid (22:ω63). International Journal of Systematic Bacteriology, 48(4), pp.1171–1180. 
bowman_et_al_2003.tsv	Table 3	Bowman, J.P., Nichols, C.M. & Gibson, J.A.E., 2003. Algoriphagus ratkowskyi gen. nov., sp. nov., Brumimicrobium glaciale gen. nov., sp. nov., Cryomorpha ignava gen. nov., sp. nov. and Crocinitomix catalasitica gen. nov., sp. nov., novel flavobacteria isolated from various polar habitats. International Journal of Systematic and Evolutionary Microbiology, 53(5), pp.1343–1355. 
brondz_and_olsen_1991.tsv	Table 2	Brondz, I. & Olsen, I., 1991. Multivariate analyses of cellular fatty acids in Bacteroides, Prevotella, Porphyromonas, Wolinella, and Campylobacter spp. Journal of Clinical Microbiology, 29(1), pp.183–189. 
carballeira_et_al_1997_1.tsv	Table 1	Carballeira, N.M. et al., 1997. Unusual fatty acid compositions of the hyperthermophilic archaeon Pyrococcus furiosus and the bacterium Thermotoga maritima. Journal of Bacteriology, 179(8), pp.2766–2768. 
carballeira_et_al_1997_2.tsv	Table 2	Carballeira, N.M. et al., 1997. Unusual fatty acid compositions of the hyperthermophilic archaeon Pyrococcus furiosus and the bacterium Thermotoga maritima. Journal of Bacteriology, 179(8), pp.2766–2768. 
chan_et_al_1971.tsv	Table 1	Chan, M., Himes, R.H. & Akagi, J.M., 1971. Fatty Acid Composition of Thermophilic, Mesophilic, and Psychrophilic Clostridia. Journal of Bacteriology, 106(3), pp.876–881. 
cho_and_salton_1966.tsv	Table 1,2	Cho, K.Y. & Salton, M.R.J., 1966. Fatty acid composition of bacterial membrane and wall lipids. Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism, 116(1), pp.73–79. 
chung_et_al_1993.tsv	Table 1	Chung, A.P. et al., 1993. The effect of the growth medium composition on the fatty acids of Rhodothermus marinus and “Thermus thermosphilus” HB-8. FEMS Microbiology Letters, 112(1), pp.13–18. 
chung_et_al_1997.tsv	Table 2	Chung, A.P. et al., 1997. Meiothermus cerbereus sp. nov., a New Slightly Thermophilic Species with High Levels of 3-Hydroxy Fatty Acids. International Journal of Systematic Bacteriology, 47(4), pp.1225–1230. 
cohen_and_vonshak_1991.tsv	Table 1	Cohen, Z. & Vonshak, A., 1991. Fatty acid composition of Spirulina and spirulina-like cyanobacteria in relation to their chemotaxonomy. Phytochemistry, 30(1), pp.205–206. 
cullen_et_al_1971.tsv	Table 3	Cullen, J., Phillips, M.C. & Shipley, G.G., 1971. The effects of temperature on the composition and physical properties of the lipids of< italic> Pseudomonas fluorescens</italic>. Biochem. J, 125, pp.733–742. 
dedysh_et_al_2002.tsv	Table 1	Dedysh, S.N. et al., 2002. Methylocapsa acidiphila gen. nov., sp. nov., a novel methane-oxidizing and dinitrogen-fixing acidophilic bacterium from Sphagnum bog. International Journal of Systematic and Evolutionary Microbiology, 52(1), pp.251–261. 
dees_and_moss_1975.tsv	Table 1	Dees, S.B. & Moss, C.W., 1975. Cellular fatty acids of Alcaligenes and Pseudomonas species isolated from clinical specimens. Journal of Clinical Microbiology, 1(5), pp.414–419. 
dees_and_moss_1978.tsv	Table 2	Dees, S.B. & Moss, C.W., 1978. Identification of Achromobacter species by cellular fatty acids and by production of keto acids. Journal of Clinical Microbiology, 8(1), pp.61–66. 
dees_et_al_1982_1.tsv	Table 1	Dees, S.B. et al., 1982. Cellular fatty acids of Capnocytophaga species. Journal of Clinical Microbiology, 16(5), pp.779–783. 
dees_et_al_1982_2.tsv	Table 2	Dees, S.B. et al., 1982. Cellular fatty acids of Capnocytophaga species. Journal of Clinical Microbiology, 16(5), pp.779–783. 
delong_and_yayanos_1986.tsv	Table 2	DeLong, E.F. & Yayanos, A.A., 1986. Biochemical Function and Ecological Significance of Novel Bacterial Lipids in Deep-Sea Procaryotes. Applied and Environmental Microbiology, 51(4), pp.730–737. 
demott_and_muller-navarra_1997.tsv	Table 1	Demott, W. & Müller-Navarra, D., 1997. The importance of highly unsaturated fatty acids in zooplankton nutrition: evidence from experiments with Daphnia, a cyanobacterium and lipid emulsions. Freshwater Biology, 38(3), pp.649–664. 
dixon_and_williamson_1970.tsv	Table 3,4,5,6	Dixon, H. & Williamson, J., 1970. The lipid composition of blood and culture forms of Trypanosoma lewisi and Trypanosoma rhodesiense compared with that of their environment. Comparative Biochemistry and Physiology, 33(1), pp.111–116, IN7-IN8, 117–128. 
donato_et_al_1990.tsv	Table 1,2	Donato, M.M., Seleiro, E.A. & Da costa, M.S., 1990. Polar Lipid and Fatty Acid Composition of Strains of the Genus Thermus. Systematic and Applied Microbiology, 13(3), pp.234–239. 
dowling_et_al_1986_1.tsv	Table 2	Dowling, N.J.E., Widdel, F. & White, D.C., 1986. Phospholipid Ester-linked Fatty Acid Biomarkers of Acetate-oxidizing Sulphate-reducers and Other Sulphide-forming Bacteria. Journal of General Microbiology, 132(7), pp.1815–1825. 
dowling_et_al_1986_2.tsv	Table 3	Dowling, N.J.E., Widdel, F. & White, D.C., 1986. Phospholipid Ester-linked Fatty Acid Biomarkers of Acetate-oxidizing Sulphate-reducers and Other Sulphide-forming Bacteria. Journal of General Microbiology, 132(7), pp.1815–1825. 
dowling_et_al_1988.tsv	Table 2	Dowling, N.J.E., Nichols, P.D. & White, D.C., 1988. Phospholipid fatty acid and infra-red spectroscopic analysis of a sulphate-reducing consortium. FEMS Microbiology Letters, 53(6), pp.325–333. 
dunlap_and_perry_1967_1.tsv	Table 1	Dunlap, K.R. & Perry, J.J., 1967. Effect of Substrate on the Fatty Acid Composition of Hydrocarbon-utilizing Microorganisms1. Journal of Bacteriology, 94(6), pp.1919–1923. 
dunlap_and_perry_1967_2.tsv	Table 2	Dunlap, K.R. & Perry, J.J., 1967. Effect of Substrate on the Fatty Acid Composition of Hydrocarbon-utilizing Microorganisms1. Journal of Bacteriology, 94(6), pp.1919–1923. 
dunstan_et_al_1992.tsv	Table 2	Dunstan, G.A. et al., 1992. Biochemical composition of microalgae from the green algal classes Chlorophyceae and Prasinophyceae. 2. Lipid classes and fatty acids. Journal of Experimental Marine Biology and Ecology, 161(1), pp.115–134. 
emerson_et_al_2007.tsv	Table 1	Emerson, D. et al., 2007. A Novel Lineage of Proteobacteria Involved in Formation of Marine Fe-Oxidizing Microbial Mat Communities. PLoS ONE, 2(8), p.e667. 
erwin_et_al_1964.tsv	Table 1	Erwin, J., Hulanicka, D. & Bloch, K., 1964. Comparative aspects of unsaturated fatty acid synthesis. Comparative Biochemistry and Physiology, 12(2), pp.191–207. 
fautz_et_al_1979.tsv	Table 1	Fautz, E., Rosenfelder, G. & Grotjahn, L., 1979. Iso-branched 2- and 3-hydroxy fatty acids as characteristic lipid constituents of some gliding bacteria. Journal of Bacteriology, 140(3), pp.852–858. 
fernandez-reiriz_et_al_1989.tsv	Table 3	Fernández-Reiriz, M.J. et al., 1989. Biomass production and variation in the biochemical profile (total protein, carbohydrates, RNA, lipids and fatty acids) of seven species of marine microalgae. Aquaculture, 83(1–2), pp.17–37. 
fuerst_et_al_1993.tsv	Table 2	Fuerst, J.A. et al., 1993. Porphyrobacter neustonensis gen. nov., sp. nov., an Aerobic Bacteriochlorophyll-Synthesizing Budding Bacterium from Fresh Water. International Journal of Systematic Bacteriology, 43(1), pp.125–134. 
fukunaga_et_al_2009.tsv	Table 1	Fukunaga, Y. et al., 2009. Phycisphaera mikurensis gen. nov., sp. nov., isolated from a marine alga, and proposal of Phycisphaeraceae fam. nov., Phycisphaerales ord. nov. and Phycisphaerae classis nov. in the phylum Planctomycetes. The Journal of General and Applied Microbiology, 55(4), pp.267–275. 
gao_et_al_2006.tsv	Table S1	Gao, H. et al., 2006. Shewanella loihica sp. nov., isolated from iron-rich microbial mats in the Pacific Ocean. International Journal of Systematic and Evolutionary Microbiology, 56(8), pp.1911–1916. 
girard_et_al_1971_1.tsv	Table 1	Girard, A.E., 1971. A comparative study of the fatty acids of some micrococci. Canadian journal of microbiology, 17(12), pp.1503–1508. 
girard_et_al_1971_2.tsv	Table 2	Girard, A.E., 1971. A comparative study of the fatty acids of some micrococci. Canadian journal of microbiology, 17(12), pp.1503–1508. 
gombos_et_al_1992.tsv	Table 1	Gombos, Z., Wada, H. & Murata, N., 1992. Unsaturation of fatty acids in membrane lipids enhances tolerance of the cyanobacterium Synechocystis PCC6803 to low-temperature photoinhibition. Proceedings of the National Academy of Sciences, 89(20), pp.9959–9963. 
goodwin_et_al_1985.tsv	Table	Goodwin, C.S. et al., 1985. Unusual Cellular Fatty Acids and Distinctive Ultrastructure in a New Spiral Bacterium (Campylobacter Pyloridis) from the Human Gastric Mucosa. Journal of Medical Microbiology, 19(2), pp.257–267. 
gugger_et_al_2002_1.tsv	Table 2	Gugger, M. et al., 2002. Cellular fatty acids as chemotaxonomic markers of the genera Anabaena, Aphanizomenon, Microcystis, Nostoc and Planktothrix (cyanobacteria). International Journal of Systematic and Evolutionary Microbiology, 52(3), pp.1007–1015. 
gugger_et_al_2002_2.tsv	Table 3	Gugger, M. et al., 2002. Cellular fatty acids as chemotaxonomic markers of the genera Anabaena, Aphanizomenon, Microcystis, Nostoc and Planktothrix (cyanobacteria). International Journal of Systematic and Evolutionary Microbiology, 52(3), pp.1007–1015. 
gugger_et_al_2002_3.tsv	Table 4	Gugger, M. et al., 2002. Cellular fatty acids as chemotaxonomic markers of the genera Anabaena, Aphanizomenon, Microcystis, Nostoc and Planktothrix (cyanobacteria). International Journal of Systematic and Evolutionary Microbiology, 52(3), pp.1007–1015. 
gugger_et_al_2002_4.tsv	Table 5	Gugger, M. et al., 2002. Cellular fatty acids as chemotaxonomic markers of the genera Anabaena, Aphanizomenon, Microcystis, Nostoc and Planktothrix (cyanobacteria). International Journal of Systematic and Evolutionary Microbiology, 52(3), pp.1007–1015. 
hamamoto_et_al_1994.tsv	Table 1	Hamamoto, T. et al., 1994. Effect of temperature and growth phase on fatty acid composition of the psychrophilic< i> Vibrio</i> sp. strain no. 5710. FEMS microbiology letters, 119(1), pp.77–81. 
hamamoto_et_al_1995.tsv	Table 2	Hamamoto, T. et al., 1995. Characteristic presence of polyunsaturated fatty acids in marine psychrophilic vibrios. FEMS Microbiology Letters, 129(1), pp.51–56. 
han_et_al_2003.tsv	Page 2063	Han, S.K. et al., 2003. Salinibacterium amurskyense gen. nov., sp. nov., a novel genus of the family Microbacteriaceae from the marine environment. International Journal of Systematic and Evolutionary Microbiology, 53(6), pp.2061–2066. 
hensel_et_al_1986.tsv	Table 4	Hensel, R. et al., 1986. Chemotaxonomic and Molecular-Genetic Studies of the Genus Thermus: Evidence for a Phylogenetic Relationship of Thermus aquaticus and Thermus ruber to the Genus Deinococcus. International Journal of Systematic and Evolutionary Microbiology, 36(3), pp.444–453. 
heyer_et_al_2005.tsv	Table 3	Heyer, J. et al., 2005. Methylohalobius crimeensis gen. nov., sp. nov., a moderately halophilic, methanotrophic bacterium isolated from hypersaline lakes of Crimea. International Journal of Systematic and Evolutionary Microbiology, 55(Pt 5), pp.1817–1826. 
holt_et_al_1979.tsv	Table 2,3	Holt, S.C., Forcier, G. & Takacs, B.J., 1979. Fatty acid composition of gliding bacteria: oral isolates of Capnocytophaga compared with Sporocytophaga. Infection and Immunity, 26(1), pp.298–304. 
hoover_et_al_2003.tsv	Page 817	Hoover, R.B. et al., 2003. Spirochaeta americana sp. nov., a new haloalkaliphilic, obligately anaerobic spirochaete isolated from soda Mono Lake in California. International Journal of Systematic and Evolutionary Microbiology, 53(3), pp.815–821. 
ifkovits_and_ragheb_1968_1.tsv	Table 1,2,3	Ifkovits, R.W. & Ragheb, H.S., 1968. Cellular Fatty Acid Composition and Identification of Rumen Bacteria. Applied Microbiology, 16(9), pp.1406–1413. 
ifkovits_and_ragheb_1968_2.tsv	Table 4	Ifkovits, R.W. & Ragheb, H.S., 1968. Cellular Fatty Acid Composition and Identification of Rumen Bacteria. Applied Microbiology, 16(9), pp.1406–1413. 
imachi_et_al_2013.tsv	Bottom pg 9	Imachi, H. et al., 2013. Pelolinea submarina gen. nov., sp. nov., an anaerobic, filamentous bacterium of the phylum Chloroflexi isolated from subseafloor sediment offshore Shimokita, Japan. International Journal of Systematic and Evolutionary Microbiology, p.ijs.0.057547-0. 
imhoff_and_bias-imhoff_1995_1.tsv	Table 3	Imhoff, J. & Bias-Imhoff, U., 1995. Lipids, quinones and fatty acids of anoxygenic phototrophic bacteria. In R. Blankenship, M. Madigan, & C. Bauer, eds. Anoxygenic Photosynthetic Bacteria. Advances in Photosynthesis and Respiration. Dordrecht: Springer, pp. 179–205. 
imhoff_and_bias-imhoff_1995_2.tsv	Table 4a,4b	Imhoff, J. & Bias-Imhoff, U., 1995. Lipids, quinones and fatty acids of anoxygenic phototrophic bacteria. In R. Blankenship, M. Madigan, & C. Bauer, eds. Anoxygenic Photosynthetic Bacteria. Advances in Photosynthesis and Respiration. Dordrecht: Springer, pp. 179–205. 
imhoff_and_bias-imhoff_1995_3.tsv	Table 5	Imhoff, J. & Bias-Imhoff, U., 1995. Lipids, quinones and fatty acids of anoxygenic phototrophic bacteria. In R. Blankenship, M. Madigan, & C. Bauer, eds. Anoxygenic Photosynthetic Bacteria. Advances in Photosynthesis and Respiration. Dordrecht: Springer, pp. 179–205. 
imhoff_and_bias-imhoff_1995_4.tsv	Table 8	Imhoff, J. & Bias-Imhoff, U., 1995. Lipids, quinones and fatty acids of anoxygenic phototrophic bacteria. In R. Blankenship, M. Madigan, & C. Bauer, eds. Anoxygenic Photosynthetic Bacteria. Advances in Photosynthesis and Respiration. Dordrecht: Springer, pp. 179–205. 
ivanova_et_al_2000.tsv	Table 2	Ivanova, E.P. et al., 2000. Idiomarina gen. nov., comprising novel indigenous deep-sea bacteria from the Pacific Ocean, including descriptions of two species, Idiomarina abyssalis sp. nov. and Idiomarina zobellii sp. nov. International Journal of Systematic and Evolutionary Microbiology, 50(2), pp.901–907. 
jackson_et_al_1999.tsv	Page 111	Jackson, B.E. et al., 1999. Syntrophus aciditrophicus sp. nov., a new anaerobic bacterium that degrades fatty acids and benzoate in syntrophic association with hydrogen-using microorganisms. Archives of Microbiology, 171(2), pp.107–114. 
jahnke_and_nichols_1986.tsv	Table 2	Jahnke, L.L. & Nichols, P.D., 1986. Methyl sterol and cyclopropane fatty acid composition of Methylococcus capsulatus grown at low oxygen tensions. Journal of Bacteriology, 167(1), pp.238–242. 
jahnke_et_al_2001.tsv	Table 2	Jahnke, L.L. et al., 2001. Signature Lipids and Stable Carbon Isotope Analyses of Octopus Spring Hyperthermophilic Communities Compared with Those ofAquificales Representatives. Applied and Environmental Microbiology, 67(11), pp.5179–5189. 
jantzen_and_hofstad_1981.tsv	Table 2	Jantzen, E. & Hofstad, T., 1981. Fatty Acids of Fusobacterium Species: Taxonomic Implications. Journal of General Microbiology, 123(1), pp.163–171. 
jantzen_et_al_1979.tsv	Table 1	Jantzen, E., Berdal, B.P. & Omland, T., 1979. Cellular fatty acid composition of Francisella tularensis. Journal of Clinical Microbiology, 10(6), pp.928–930. 
jones_and_collins_1988.tsv	Table 1	Jones, D. & Collins, M.D., 1988. Taxonomic studies on some human cutaneous coryneform bacteria: Description of< i> Dermabacter hominis</i> gen. nov., sp. nov. FEMS microbiology letters, 51(1), pp.51–55. 
kaneshiro_and_marr_1961.tsv	Table 1	Kaneshiro, T. & Marr, A.G., 1961. cis-9,10-Methylene hexadecanoic acid from the phospholipids of Escherichia coli. The Journal of Biological Chemistry, 236, pp.2615–2619. 
kates_and_volcani_1966.tsv	Table 2	Kates, M. & Volcani, B.E., 1966. Lipid components of diatoms. Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism, 116(2), pp.264–278. 
kenyon_1972_1.tsv	Table 3	Kenyon, C.N., 1972. Fatty Acid Composition of Unicellular Strains of Blue-Green Algae1. Journal of Bacteriology, 109(2), pp.827–834. 
kenyon_1972_2.tsv	Table 4	Kenyon, C.N., 1972. Fatty Acid Composition of Unicellular Strains of Blue-Green Algae1. Journal of Bacteriology, 109(2), pp.827–834. 
kenyon_1972_3.tsv	Table 5	Kenyon, C.N., 1972. Fatty Acid Composition of Unicellular Strains of Blue-Green Algae1. Journal of Bacteriology, 109(2), pp.827–834. 
kenyon_1972_4.tsv	Table 6	Kenyon, C.N., 1972. Fatty Acid Composition of Unicellular Strains of Blue-Green Algae1. Journal of Bacteriology, 109(2), pp.827–834. 
kenyon_and_gray_1974.tsv	Table 2,3	Kenyon, C.N. & Gray, A.M., 1974. Preliminary Analysis of Lipids and Fatty Acids of Green Bacteria and Chloroflexus aurantiacus. Journal of Bacteriology, 120(1), pp.131–138. 
kenyon_et_al_1972_1.tsv	Table 4	Kenyon, C.N., Rippka, R. & Stanier, R.Y., 1972. Fatty acid composition and physiological properties of some filamentous blue-green algae. Archiv für Mikrobiologie, 83(3), pp.216–236. 
kenyon_et_al_1972_2.tsv	Table 5	Kenyon, C.N., Rippka, R. & Stanier, R.Y., 1972. Fatty acid composition and physiological properties of some filamentous blue-green algae. Archiv für Mikrobiologie, 83(3), pp.216–236. 
kerger_et_al_1988.tsv	Table 2,4,5	Kerger, B.D. et al., 1988. The budding bacteria, Pirellula and Planctomyces, with atypical 16S rRNA and absence of peptidoglycan, show eubacterial phospholipids and uniquely high proportions of long chain beta-hydroxy fatty acids in the lipopolysaccharide lipid A. Archives of Microbiology, 149(3), pp.255–260. 
kim_et_al_2001.tsv	Page 1545	Kim, B.C. et al., 2001. Thermoanaerobacter yonseiensis sp. nov., a novel extremely thermophilic, xylose-utilizing bacterium that grows at up to 85 degrees C. International Journal of Systematic and Evolutionary Microbiology, 51(4), pp.1539–1548. 
klaring_et_al_2013.tsv	Table 1	Klaring, K. et al., 2013. Intestinimonas butyriciproducens gen. nov., sp. nov., a butyrate-producing bacterium from the mouse intestine. INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY, 63(Pt 12), pp.4606–4612. 
knudsen_et_al_1982.tsv	Table 1	Knudsen, E. et al., 1982. Quantitative and structural characteristics of lipids in Chlorobium and Chloroflexus. Archives of Microbiology, 132(2), pp.149–154. 
kohring_et_al_1994.tsv	Table 2	Kohring, L.L. et al., 1994. Comparison of phylogenetic relationships based on phospholipid fatty acid profiles and ribosomal RNA sequence similarities among dissimilatory sulfate-reducing bacteria. FEMS microbiology letters, 119(3), pp.303–308. 
kuever_et_al_2001.tsv	Table 1	Kuever, J. et al., 2001. Reclassification of Desulfobacterium phenolicum as Desulfobacula phenolica comb. nov. and description of strain SaxT as Desulfotignum balticum gen. nov., sp. nov. International Journal of Systematic and Evolutionary Microbiology, 51(1), pp.171–177. 
kulichevskava_et_al_2008.tsv	Table 2	Kulichevskaya, I.S. et al., 2008. Singulisphaera acidiphila gen. nov., sp. nov., a non-filamentous, Isosphaera-like planctomycete from acidic northern wetlands. International Journal of Systematic and Evolutionary Microbiology, 58(5), pp.1186–1193. 
kulichevskava_et_al_2009.tsv	Table 2	Kulichevskaya, I.S. et al., 2009. Zavarzinella formosa gen. nov., sp. nov., a novel stalked, Gemmata-like planctomycete from a Siberian peat bog. International Journal of Systematic and Evolutionary Microbiology, 59(2), pp.357–364. 
lambert_et_al_1983.tsv	Table 2	Kulichevskaya, I.S. et al., 2009. Zavarzinella formosa gen. nov., sp. nov., a novel stalked, Gemmata-like planctomycete from a Siberian peat bog. International Journal of Systematic and Evolutionary Microbiology, 59(2), pp.357–364. 
lattanzio_et_al_2009.tsv	Table 1	Lattanzio, V.M.T. et al., 2009. Characterization of polar membrane lipids of the extremely halophilic bacterium Salinibacter ruber and possible role of cardiolipin. Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids, 1791(1), pp.25–31. 
lee_and_loeblich_1971.tsv	Table 2	Lee, R.F. & Loeblich III, A.R., 1971. Distribution of 21:6 hydrocarbon and its relationship to 22:6 fatty acid in algae. Phytochemistry, 10(3), pp.593–602. 
li_et_al_2010.tsv	Table 1	Li, Y. et al., 2010. Differentiation of bacteria using fatty acid profiles from gas chromatography–tandem mass spectrometry. Journal of the Science of Food and Agriculture, 90(8), pp.1380–1383. 
liu_and_lin_2001_1.tsv	Table 1	Liu, C.-P. & Lin, L.-P., 2001. Ultrastructural study and lipid formation of Isochrysis sp. CCMP1324. Botanical Bulletin of Academia Sinica, 42. Available at: http://www.smccd.edu/accounts/case/biol230/algae/staining.pdf [Accessed January 21, 2014]. 
liu_and_lin_2001_2.tsv	Table 2,3	Liu, C.-P. & Lin, L.-P., 2001. Ultrastructural study and lipid formation of Isochrysis sp. CCMP1324. Botanical Bulletin of Academia Sinica, 42. Available at: http://www.smccd.edu/accounts/case/biol230/algae/staining.pdf [Accessed January 21, 2014]. 
livermore_and_johnson_1974_1.tsv	Table 3	Livermore, B.P. & Johnson, R.C., 1974. Lipids of the Spirochaetales: Comparison of the Lipids of Several Members of the Genera Spirochaeta, Treponema, and Leptospira. Journal of Bacteriology, 120(3), pp.1268–1273. 
livermore_and_johnson_1974_2.tsv	Table 3	Livermore, B.P. & Johnson, R.C., 1974. Lipids of the Spirochaetales: Comparison of the Lipids of Several Members of the Genera Spirochaeta, Treponema, and Leptospira. Journal of Bacteriology, 120(3), pp.1268–1273. 
livermore_and_johnson_1974_3.tsv	Table 4	Livermore, B.P. & Johnson, R.C., 1974. Lipids of the Spirochaetales: Comparison of the Lipids of Several Members of the Genera Spirochaeta, Treponema, and Leptospira. Journal of Bacteriology, 120(3), pp.1268–1273. 
livesley_et_al_1993.tsv	Table 2	Livesley, M.A. et al., 1993. Comparison of the fatty acid profiles of Borrelia, Serpulina and Leptospira species. Journal of General Microbiology, 139(4), pp.889–895. 
lopes_da_silva_et_al_2009.tsv	Table 3	Lopes da Silva, T. et al., 2009. Oil Production Towards Biofuel from Autotrophic Microalgae Semicontinuous Cultivations Monitorized by Flow Cytometry. Applied Biochemistry and Biotechnology, 159(2), pp.568–578. 
mansour_et_al_1999.tsv	Table 2	Mansour, M.P. et al., 1999. The Fatty Acid and Sterol Composition of Five Marine Dinoflagellates. Journal of Phycology, 35(4), pp.710–720. 
marr_and_ingraham_1962.tsv	Table 1,2,3	Marr, A.G. & Ingraham, J.L., 1962. Effect of Temperature on the Composition of Fatty Acids in Escherichia Coli. Journal of Bacteriology, 84(6), pp.1260–1267. 
mccaffrey_et_al_1989.tsv	Table 1	McCaffrey, M.A., Farrington, J.W. & Repeta, D.J., 1989. Geochemical implications of the lipid composition of Thioploca spp. from the Peru upwelling region—15°S. Organic Geochemistry, 14(1), pp.61–68. 
melin_et_al_1986_1.tsv	Table 3	Melin, A.-M., Carbonneau, M.-A. & Rebeyrotte, N., 1986. Fatty acids and carbohydrate-containing lipids in four micrococcaceae strains. Biochimie, 68(10–11), pp.1201–1209. 
melin_et_al_1986_2.tsv	Table 4	Melin, A.-M., Carbonneau, M.-A. & Rebeyrotte, N., 1986. Fatty acids and carbohydrate-containing lipids in four micrococcaceae strains. Biochimie, 68(10–11), pp.1201–1209. 
mesbah_et_al_2007.tsv	Table S1	Mesbah, N.M. et al., 2007. Natranaerobius thermophilus gen. nov., sp. nov., a halophilic, alkalithermophilic bacterium from soda lakes of the Wadi An Natrun, Egypt, and proposal of Natranaerobiaceae fam. nov. and Natranaerobiales ord. nov. International Journal of Systematic and Evolutionary Microbiology, 57(11), pp.2507–2512. 
moore_et_al_1994.tsv	Table 2	Moore, L.V.H., Bourne, D.M. & Moore, W.E.C., 1994. Comparative Distribution and Taxonomic Value of Cellular Fatty Acids in Thirty-Three Genera of Anaerobic Gram-Negative Bacilli. International Journal of Systematic Bacteriology, 44(2), pp.338–347. 
moss_and_dees_1975.tsv	Table 1	Moss, C.W. & Dees, S.B., 1975. Identification of microorganisms by gas chromatographic-mass spectrometric analysis of cellular fatty acids. Journal of Chromatography A, 112, pp.595–604. 
moss_and_dees_1976_1.tsv	Table 2	Moss, C.W. & Dees, S.B., 1976. Cellular fatty acids and metabolic products of Pseudomonas species obtained from clinical specimens. Journal of Clinical Microbiology, 4(6), pp.492–502. 
moss_and_dees_1976_2.tsv	Table 3	Moss, C.W. & Dees, S.B., 1976. Cellular fatty acids and metabolic products of Pseudomonas species obtained from clinical specimens. Journal of Clinical Microbiology, 4(6), pp.492–502. 
